"major_head","sub_head","sub_sub","row_type","item_code","description_hi","description_en","Actuals_22_23","BE_23_24","RE_23_24","BE_24_25"
"5054",NA,"05","Item","00","00","00",0,0,0,100
"5054",NA,"05","Total",NA,"योग","Total",0,0,0,100
"6217",NA,"60","Total",NA,"योग","Total",89845,66050,66050,99696
"6217",NA,"60","Total",NA,"योग","Total",589819.15,690035.89,670154.21,716246
"6217",NA,"60","Total",NA,"योग","Total",621153.08,740311.74,710501.38,770544.37
"4217",NA,"01","Item","00","00","00",0.3,0,0,0
"4217",NA,"01","Total",NA,"योग","Total",0.3,0,0,0
"4217",NA,"01","Total",NA,"योग","Total",0.3,0,0,0
